Date,Time (UTC),Active Power L1 (W),
6/7/2022,00:53:16:157,129.4203949,
6/7/2022,00:54:16:157,129.3258667,
6/7/2022,00:55:16:157,129.0286102,
6/7/2022,00:56:16:157,128.4763641,
6/7/2022,00:57:16:157,128.9539795,
6/7/2022,00:58:16:157,128.7126923,
6/7/2022,00:59:16:157,128.4676666,
6/7/2022,01:00:16:157,127.8296051,
6/7/2022,01:01:16:157,127.3246231,
6/7/2022,01:02:16:157,127,
6/7/2022,01:03:16:157,127.6791077,
6/7/2022,01:04:16:157,127.8445282,
6/7/2022,01:05:16:157,127.6890564,
6/7/2022,01:06:16:157,128.0198975,
6/7/2022,01:07:16:157,128.1766205,
6/7/2022,01:08:16:157,127.4328384,
6/7/2022,01:09:16:157,127.3146744,
6/7/2022,01:10:16:157,127.7027359,
6/7/2022,01:11:16:157,127.282341,
6/7/2022,01:12:16:157,127.2052231,
6/7/2022,01:13:16:157,127.092041,
6/7/2022,01:14:16:157,127.3756256,
6/7/2022,01:15:16:157,127.1965179,
6/7/2022,01:16:16:157,126.3681564,
6/7/2022,01:17:16:157,126.3208923,
6/7/2022,01:18:16:157,126.4713898,
6/7/2022,01:19:16:157,126.4626846,
6/7/2022,01:20:16:157,125.9863205,
6/7/2022,01:21:16:157,125.7748718,
6/7/2022,01:22:16:157,125.6791077,
6/7/2022,01:23:16:157,125.7139282,
6/7/2022,01:24:16:157,125.5870667,
6/7/2022,01:25:16:157,125.5348282,
6/7/2022,01:25:24:167,25.05472565,
6/7/2022,01:25:24:217,16.92786026,
6/7/2022,01:25:24:267,15.4291048,
6/7/2022,01:25:24:317,15.10447788,
6/7/2022,01:25:24:367,15.27736282,
6/7/2022,01:25:24:417,15.29104519,
6/7/2022,01:25:24:467,15.54228878,
6/7/2022,01:25:24:517,15.37810898,
6/7/2022,01:25:24:567,15.20149231,
6/7/2022,01:25:24:617,15.08208942,
6/7/2022,01:25:24:667,15.13805962,
6/7/2022,01:25:24:717,15.16791058,
6/7/2022,01:25:24:767,15.21268654,
6/7/2022,01:25:24:817,15.14552212,
6/7/2022,01:25:24:867,15.04850769,
6/7/2022,01:25:24:917,14.87313461,
6/7/2022,01:25:24:967,14.96268654,
6/7/2022,01:25:25:017,15.07835865,
6/7/2022,01:25:25:067,15.22263718,
6/7/2022,01:25:25:117,15.14427853,
6/7/2022,01:25:25:167,15.23756218,
6/7/2022,01:25:25:217,15.16791058,
6/7/2022,01:25:25:267,15.27736282,
6/7/2022,01:25:25:317,15.3743782,
6/7/2022,01:25:25:367,15.34079647,
6/7/2022,01:25:25:417,15.39552212,
6/7/2022,01:25:25:467,15.27985096,
6/7/2022,01:25:25:517,15.24502468,
6/7/2022,01:25:25:567,15.27487564,
6/7/2022,01:25:25:618,15.16666698,
6/7/2022,01:25:25:667,15.1243782,
6/7/2022,01:25:25:717,14.93159199,
6/7/2022,01:25:25:768,15.06343269,
6/7/2022,01:25:25:817,15.03482628,
6/7/2022,01:25:25:867,15.22263718,
6/7/2022,01:25:25:917,15.20149231,
6/7/2022,01:25:25:967,15.17537308,
6/7/2022,01:25:26:017,15.20646763,
6/7/2022,01:25:26:067,15.21766186,
6/7/2022,01:25:26:117,15.47512436,
6/7/2022,01:25:26:167,15.48258686,
6/7/2022,01:25:26:217,15.47263718,
6/7/2022,01:25:26:268,15.25248718,
6/7/2022,01:25:26:317,14.57462692,
6/7/2022,01:25:26:368,14.69402981,
6/7/2022,01:25:26:417,14.90547276,
6/7/2022,01:25:26:467,15.14179134,
6/7/2022,01:25:26:517,15.07835865,
6/7/2022,01:25:26:567,15.14801025,
6/7/2022,01:25:26:617,15.235075,
6/7/2022,01:25:26:667,15.12810898,
6/7/2022,01:25:26:717,15.20024872,
6/7/2022,01:25:26:767,15.1952734,
6/7/2022,01:25:26:817,15.34825897,
6/7/2022,01:25:26:867,15.30223846,
6/7/2022,01:25:26:917,15.35198975,
6/7/2022,01:25:26:967,15.21766186,
6/7/2022,01:25:27:017,15.35447788,
6/7/2022,01:25:27:067,15.3905468,
6/7/2022,01:25:27:117,15.40174103,
6/7/2022,01:25:27:167,15.29601955,
6/7/2022,01:26:27:167,15.28358173,
6/7/2022,01:27:27:167,14.91293526,
6/7/2022,01:28:27:167,14.92661667,
6/7/2022,01:29:27:167,14.985075,
