Date,Time (UTC),Active Power L1 (W),Reactive Power L1 (Var),Active Power L3 (W),,,
6/6/2022,21:08:12:398,810.3449707,63.57995987,-0.313445032,,,
6/6/2022,21:08:12:448,809.9419556,66.65480042,-0.403000772,,,
6/6/2022,21:08:12:498,811.0166626,68.68170166,-0.223889321,,,
6/6/2022,21:09:12:498,829.7785645,56.56754303,-0.134333581,,,
6/6/2022,21:10:12:499,822.9723511,75.94926453,-0.044777863,,,
6/6/2022,21:11:12:499,818.7184448,66.0145874,-0.044777863,,,
6/6/2022,21:12:12:500,824.3156738,32.32003403,-0.268667161,,,
6/6/2022,21:12:55:979,723.5206909,56.42598343,-0.179111451,,,
6/6/2022,21:12:56:030,727.6850586,65.5763092,-0.089555725,,,
6/6/2022,21:12:56:080,732.4315186,67.58969116,0.044777863,,,
6/6/2022,21:12:56:131,732.3419189,66.89924622,0.223889321,,,
6/6/2022,21:12:56:181,727.4611816,71.44379425,0.268667161,,,
6/6/2022,21:12:56:231,726.3864746,70.31174469,0.223889321,,,
6/6/2022,21:12:56:281,729.968689,73.08236694,0.044777863,,,
6/6/2022,21:12:56:331,732.2076416,71.40301514,-0.179111451,,,
6/6/2022,21:12:56:381,736.0585327,70.67572021,0.044777863,,,
6/6/2022,21:12:56:431,740.1333008,73.76924896,0.223889321,,,
6/6/2022,21:12:56:481,740.3123779,73.05924225,0.134333581,,,
6/6/2022,21:12:56:531,738.9243164,75.01255798,0.179111451,,,
6/6/2022,21:12:56:581,738.2078247,72.17207336,0.358222902,,,
6/6/2022,21:12:56:631,737.0436401,72.12493134,0.447778642,,,
6/6/2022,21:12:56:681,734.8047485,74.81627655,0.403000772,,,
6/6/2022,21:12:56:731,731.2672729,62.49798584,0.179111451,,,
6/6/2022,21:12:56:781,730.0582886,60.46778488,0.089555725,,,
6/6/2022,21:12:56:831,731.8046265,65.97428894,0.044777863,,,
6/6/2022,21:12:56:881,733.1031494,65.99833679,-0.044777863,,,
6/6/2022,21:12:56:931,735.6107178,64.27719879,0,,,
6/6/2022,21:12:56:981,739.1929321,74.72368622,0,,,
6/6/2022,21:12:57:031,738.1630859,91.71456146,-0.044777863,,,
6/6/2022,21:12:57:081,726.6999512,79.27333832,-0.179111451,,,
6/6/2022,21:12:57:131,725.0431519,65.82010651,-0.089555725,,,
6/6/2022,21:12:57:181,727.9089355,74.94104004,0,,,
6/6/2022,21:12:57:231,729.8791504,74.08776855,0,,,
6/6/2022,21:12:57:281,729.3865967,75.97163391,0.179111451,,,
6/6/2022,21:12:57:331,725.0431519,74.99555969,0.447778642,,,
6/6/2022,21:12:57:381,713.7591553,81.92129517,0.671667933,,,
6/6/2022,21:12:57:431,697.7734375,67.21116638,0.492556483,,,
6/6/2022,21:12:57:481,693.0717773,84.20729828,0.358222902,,,
6/6/2022,21:12:57:531,692.6239624,67.60267639,0.313445032,,,
6/6/2022,21:12:57:581,695.8927612,70.10009003,0.223889321,,,
6/6/2022,21:12:57:631,696.5196533,71.9264679,0.179111451,,,
6/6/2022,21:12:57:681,691.9075317,77.98539734,0.268667161,,,
6/6/2022,21:12:57:731,682.6384888,78.40811157,0.403000772,,,
6/6/2022,21:12:57:781,682.2802734,75.25050354,0.358222902,,,
6/6/2022,21:12:57:831,681.519043,99.3520813,0.358222902,,,
6/6/2022,21:12:57:881,666.5632935,102.9284286,0.358222902,,,
6/6/2022,21:12:57:931,645.2490234,97.69433594,0.134333581,,,
6/6/2022,21:12:57:981,627.7408447,92.21091461,0.223889321,,,
6/6/2022,21:12:58:031,617.1732788,101.5146561,0.268667161,,,
6/6/2022,21:12:58:081,606.2474976,84.55648041,0.223889321,,,
6/6/2022,21:12:58:131,599.7994995,84.03572083,0.134333581,,,
6/6/2022,21:12:58:181,594.3813477,86.85054779,0.089555725,,,
6/6/2022,21:12:58:231,591.1125488,83.73239899,-0.089555725,,,
6/6/2022,21:12:58:281,588.918457,83.20375824,0,,,
6/6/2022,21:12:58:331,587.3064575,85.86693573,0.223889321,,,
6/6/2022,21:12:58:381,585.4257813,87.10018921,0.313445032,,,
6/6/2022,21:12:58:431,584.395874,97.33100128,0.179111451,,,
6/6/2022,21:12:58:481,584.1719971,95.65911865,-0.089555725,,,
6/6/2022,21:12:58:531,583.8137817,96.23428345,-0.223889321,,,
6/6/2022,21:12:58:581,583.6346436,90.94655609,-0.403000772,,,
6/6/2022,21:12:58:631,585.5601196,93.18280029,-0.358222902,,,
6/6/2022,21:12:58:681,586.992981,87.38874054,-0.179111451,,,
6/6/2022,21:12:58:731,586.4108887,82.24250031,-0.179111451,,,
6/6/2022,21:12:58:781,586.5004272,91.99190521,-0.044777863,,,
6/6/2022,21:12:58:831,585.5601196,83.7385788,0.134333581,,,
6/6/2022,21:12:58:881,589.5901489,84.63108826,0.089555725,,,
6/6/2022,21:12:58:931,589.2318726,80.29250336,0.134333581,,,
