Date,Time (UTC),Active Power L1 (W)
6/2/2022,00:30:21:349,884.9303589
6/2/2022,00:30:21:399,882.758728
6/2/2022,00:30:21:449,875.5994873
6/2/2022,00:30:21:499,866.2288818
6/2/2022,00:30:21:549,851.2698975
6/2/2022,00:30:21:599,829.583313
6/2/2022,00:30:21:649,799.3569946
6/2/2022,00:30:21:699,753.2611694
6/2/2022,00:30:21:749,676.5460205
6/2/2022,00:30:21:799,537.8482666
6/2/2022,00:30:21:849,372.2077026
6/2/2022,00:30:21:899,268.4490051
6/2/2022,00:30:21:949,221.1965179
6/2/2022,00:30:21:999,198.7039795
6/2/2022,00:30:22:049,186.9104462
6/2/2022,00:30:22:099,178.7997437
6/2/2022,00:30:22:149,174.0447693
6/2/2022,00:30:22:199,169.407959
6/2/2022,00:30:22:249,166.7524872
6/2/2022,00:30:22:299,164.0597076
6/2/2022,00:30:22:349,161.9937744
6/2/2022,00:30:22:399,160.2487488
6/2/2022,00:30:22:449,158.8980103
6/2/2022,00:30:22:499,158.0323334
6/2/2022,00:30:22:549,157.2960205
6/2/2022,00:30:22:600,156.5957642
6/2/2022,00:30:22:650,155.9701538
6/2/2022,00:30:22:700,155.2947693
6/2/2022,00:30:22:750,155.0845795
6/2/2022,00:30:22:800,154.8097076
6/2/2022,00:30:22:850,154.7686615
6/2/2022,00:30:22:900,154.6107025
6/2/2022,00:30:22:950,153.9900513
6/2/2022,00:30:23:000,154.2014923
6/2/2022,00:30:23:050,153.8059692
6/2/2022,00:30:23:100,154.0584564
6/2/2022,00:30:23:150,153.7014923
6/2/2022,00:30:23:200,153.8607025
6/2/2022,00:30:23:250,153.4266205
6/2/2022,00:30:23:300,153.656723
6/2/2022,00:30:23:350,152.8607025
6/2/2022,00:30:23:400,152.6641846
6/2/2022,00:30:23:450,152.3743744
6/2/2022,00:30:23:500,153.2437744
6/2/2022,00:30:23:550,153.4092102
6/2/2022,00:30:23:600,153.5112
6/2/2022,00:30:23:650,153.2263641
6/2/2022,00:30:23:700,153.184082
6/2/2022,00:30:23:750,153.0497437
6/2/2022,00:31:23:750,163.5161743
6/2/2022,00:32:23:750,153.6554718
6/2/2022,00:33:23:750,152.5870667
6/2/2022,00:34:23:750,152.2935333
6/2/2022,00:35:23:750,152.8607025
6/2/2022,00:36:23:750,152.4763641
6/2/2022,00:37:23:750,153.5310974
6/2/2022,00:38:23:750,151.4452667
6/2/2022,00:39:23:750,149.9589539
6/2/2022,00:40:23:750,148.9875641
6/2/2022,00:41:23:750,146.8258667
6/2/2022,00:42:23:750,146.0348206
6/2/2022,00:43:23:750,144.8830872
6/2/2022,00:44:23:750,143.8731384
6/2/2022,00:45:23:750,144.0149231
6/2/2022,00:46:23:750,144.1281128
6/2/2022,00:47:23:750,142.8619385
6/2/2022,00:48:23:750,141.8992462
6/2/2022,00:49:23:750,140.9029846
6/2/2022,00:50:23:750,138.6504974
6/2/2022,00:51:23:750,137.4141846
6/2/2022,00:52:23:750,136.6927795
6/2/2022,00:53:23:750,136.0485077
6/2/2022,00:54:23:750,135.0447693
6/2/2022,00:55:23:750,133.935318
6/2/2022,00:56:23:750,133.2922821
6/2/2022,00:57:23:750,132.7437744
6/2/2022,00:58:23:750,132.6281128
6/2/2022,00:59:23:750,131.3892975
6/2/2022,01:00:23:750,131.4514923
6/2/2022,01:01:23:750,130.711441
6/2/2022,01:02:23:750,130.1430359
6/2/2022,01:03:23:750,130.065918
6/2/2022,01:04:23:750,129.9825897
6/2/2022,01:05:23:750,129.5522461
6/2/2022,01:06:23:750,129.2126923
6/2/2022,01:07:23:750,128.3246307
6/2/2022,01:08:23:750,128.4291077
6/2/2022,01:09:23:750,127.3681564
6/2/2022,01:10:23:750,128.0758667
6/2/2022,01:11:23:750,127.5945282
6/2/2022,01:12:23:750,126.967659
6/2/2022,01:12:46:982,25.12064743
6/2/2022,01:12:47:032,16.7823391
